val_loss,val_acc,epoch,step,test_loss,test_acc
0.4378288984298706,0.8880000114440918,0,214,,
0.3069126605987549,0.9111999869346619,1,429,,
0.2588266134262085,0.9251999855041504,2,644,,
0.22687172889709473,0.9340000152587891,3,859,,
0.2028338611125946,0.9416000247001648,4,1074,,
0.18686334788799286,0.948199987411499,5,1289,,
0.17231780290603638,0.9513999819755554,6,1504,,
0.16213580965995789,0.9534000158309937,7,1719,,
0.15291164815425873,0.954800009727478,8,1934,,
0.14276067912578583,0.9571999907493591,9,2149,,
,,9,2150,0.1438397914171219,0.957099974155426
